l.p.: 18
N = 12
b:
 -709	  624	 -661	  512	  960	 -677	 -379	 -876	 -104	 -795	  703	  319	
A:
	 -605	  -28	 -353	  869	  784	  511	 -494	  949	   80	  -19	 -476	 -839
	 -157	  506	   84	   54	 -533	  939	  673	 -480	 -101	  604	  521	 -903
	 -761	  -46	  142	 -605	  671	 -892	  109	 -770	 -634	 -952	 -876	  888
	 -114	 -210	  338	 -141	  909	  116	 -660	  187	  238	 -799	  639	  407
	   35	 -446	 -465	 -462	 -543	  832	   95	  727	  631	  985	 -168	 -354
	  250	 -866	 -455	 -698	 -221	  796	 -642	  414	  620	 -137	  977	 -717
	  707	  474	  -85	  583	  644	 -906	  454	 -219	  929	  386	 -959	 -899
	 -647	 -270	 -915	  956	   99	 -234	  321	 -109	  602	 -750	 -114	  850
	 -797	 -315	 -754	  894	  566	  378	  852	  339	 -647	  -78	  681	 -310
	 -653	  303	  620	 -375	  883	  406	 -381	  262	 -849	   32	 -735	  688
	  140	 -200	 -946	  576	 -204	  549	 -133	 -105	 -952	 -160	  587	  788
	 -269	 -386	  639	 -161	  325	 -439	  199	 -950	 -640	 -690	  639	 -661
